img_id,obj_id,obj_type,obj_bbox,new_obj_bbox,x1,y1,x2,y2,center,marker,intensity
combined_image_1.png,1,Green area,"[946.30664, 813.56714, 1022.07837, 873.7822]","[946, 813, 1022, 873]",946,813,1022,873,"[984.0, 843.0]","[45, 10]",0.9
combined_image_1.png,2,Green area,"[200.17274, 1001.7107, 229.2245, 1023.3639]","[200, 1001, 229, 1023]",200,1001,229,1023,"[214.5, 1012.0]","[39, 16]",0.6
combined_image_1.png,3,Green area,"[722.0544, 29.88667, 747.77386, 54.188755]","[722, 29, 747, 54]",722,29,747,54,"[734.5, 41.5]","[52, 14]",0.8
combined_image_1.png,4,Green area,"[739.61725, 348.63992, 757.3378, 364.92227]","[739, 348, 757, 364]",739,348,757,364,"[748.0, 356.0]","[62, 8]",0.8
combined_image_1.png,5,Green area,"[140.31485, 512.6867, 157.56696, 525.83966]","[140, 512, 157, 525]",140,512,157,525,"[148.5, 518.5]","[1, 38]",0.8
combined_image_1.png,6,Green area,"[645.6768, 508.7115, 671.465, 533.1724]","[645, 508, 671, 533]",645,508,671,533,"[658.0, 520.5]","[-3, 34]",0.8
combined_image_1.png,7,Green area,"[847.48773, 227.22543, 873.8023, 251.28497]","[847, 227, 873, 251]",847,227,873,251,"[860.0, 239.0]","[10, 38]",0.8
combined_image_1.png,8,Green area,"[895.6185, 385.69727, 920.01904, 407.60748]","[895, 385, 920, 407]",895,385,920,407,"[907.5, 396.0]","[33, 40]",0.8
combined_image_1.png,9,Green area,"[800.34534, 148.03687, 820.42395, 168.19504]","[800, 148, 820, 168]",800,148,820,168,"[810.0, 158.0]","[22, 29]",0.8
combined_image_1.png,10,Green area,"[227.13115, 538.6087, 292.62628, 582.46356]","[227, 538, 292, 582]",227,538,292,582,"[259.5, 560.0]","[25, 17]",0.9
combined_image_1.png,11,Green area,"[300.6988, 156.33575, 319.1493, 185.56088]","[300, 156, 319, 185]",300,156,319,185,"[309.5, 170.5]","[23, 28]",0.9
combined_image_1.png,12,Green area,"[694.0123, 513.296, 717.56287, 532.35254]","[694, 513, 717, 532]",694,513,717,532,"[705.5, 522.5]","[49, 28]",0.9
combined_image_1.png,13,Green area,"[663.96173, 489.05243, 689.37286, 512.4531]","[663, 489, 689, 512]",663,489,689,512,"[676.0, 500.5]","[40, 20]",0.8
combined_image_1.png,14,Green area,"[354.994, 361.06073, 421.28287, 426.4309]","[354, 361, 421, 426]",354,361,421,426,"[387.5, 393.5]","[34, 40]",0.9
combined_image_1.png,15,Green area,"[370.8452, 461.7899, 386.88983, 477.3436]","[370, 461, 386, 477]",370,461,386,477,"[378.0, 469.0]","[45, 18]",0.9
combined_image_1.png,16,Green area,"[730.7323, 400.72687, 745.6035, 416.9889]","[730, 400, 745, 416]",730,400,745,416,"[737.5, 408.0]","[47, 19]",0.8
combined_image_1.png,17,Green area,"[166.43564, 537.50604, 201.0257, 556.43]","[166, 537, 201, 556]",166,537,201,556,"[183.5, 546.5]","[78, 31]",0.5
combined_image_1.png,18,Green area,"[897.71216, 334.16357, 914.31213, 350.31787]","[897, 334, 914, 350]",897,334,914,350,"[905.5, 342.0]","[57, 29]",0.9
combined_image_1.png,19,Green area,"[633.46857, 242.52658, 651.2692, 266.17572]","[633, 242, 651, 266]",633,242,651,266,"[642.0, 254.0]","[73, 40]",0.8
combined_image_1.png,20,Green area,"[780.0456, 1008.17267, 804.64777, 1024.0]","[780, 1008, 804, 1024]",780,1008,804,1024,"[792.0, 1016.0]","[78, 21]",0.9
combined_image_1.png,21,Green area,"[587.8708, 509.01477, 612.6972, 530.5635]","[587, 509, 612, 530]",587,509,612,530,"[599.5, 519.5]","[65, 25]",0.5
combined_image_1.png,1,Open Land,"[0.0, 0.0, 1024.0, 988.3561]","[0, 0, 1024, 988]",0,0,1024,988,"[512.0, 494.0]","[83, 32]",0.9
combined_image_1.png,2,Open Land,"[636.51044, 618.6633, 1024.0, 1023.18933]","[636, 618, 1024, 1023]",636,618,1024,1023,"[830.0, 820.5]","[83, 32]",0.8
combined_image_1.png,3,Open Land,"[936.46716, 624.2968, 1023.2666, 732.96686]","[936, 624, 1023, 732]",936,624,1023,732,"[979.5, 678.0]","[12, 47]",0.9
combined_image_1.png,1,Green area,"[945.5219, 32.582016, 971.88666, 60.969307]","[1969, 32, 1995, 60]",1969,32,1995,60,"[1982.0, 46.0]","[15, 50]",0.7
combined_image_1.png,2,Green area,"[937.2072, 875.0573, 993.6888, 914.22784]","[1961, 875, 2017, 914]",1961,875,2017,914,"[1989.0, 894.5]","[9, 44]",0.5
combined_image_1.png,3,Green area,"[991.03644, 990.2746, 1024.0, 1024.0]","[2015, 990, 2048, 1024]",2015,990,2048,1024,"[2031.5, 1007.0]","[12, 49]",0.9
combined_image_1.png,4,Green area,"[575.134, 97.613754, 622.9288, 137.03745]","[1599, 97, 1646, 137]",1599,97,1646,137,"[1622.5, 117.0]","[15, 58]",0.9
combined_image_1.png,5,Green area,"[668.374, 844.74255, 691.14734, 872.04944]","[1692, 844, 1715, 872]",1692,844,1715,872,"[1703.5, 858.0]","[38, 37]",0.5
