id,video_name,frame_id,case,confidence,track_id,lat,lng,intensity,circle,clickable,radius,isVideo,color,images_location
1,dataset_1447,2,Road Cracks,0.990121782,1,26.61651558,37.92390917,40,TRUE,FALSE,5,FALSE,yellow,
2,dataset_1447,2,Road Cracks,0.990121782,1,26.61678935,37.92171465,40,TRUE,FALSE,5,FALSE,yellow,
3,dataset_1447,2,Road Cracks,0.990121782,1,26.61546616,37.92084706,40,TRUE,FALSE,5,FALSE,yellow,
4,dataset_1447,2,Road Cracks,0.990121782,1,26.61542054,37.92268432,40,TRUE,FALSE,5,FALSE,yellow,
5,dataset_1447,2,Road Cracks,0.990121782,1,26.61368669,37.92253122,40,TRUE,FALSE,5,FALSE,yellow,
6,dataset_1447,2,Road Cracks,0.990121782,1,26.61040143,37.9210512,40,TRUE,FALSE,5,FALSE,yellow,
7,dataset_1447,2,Road Cracks,0.990121782,1,26.61281976,37.91916289,40,TRUE,FALSE,5,FALSE,yellow,
8,dataset_1447,2,Road Cracks,0.990121782,1,26.61482738,37.91814219,40,TRUE,FALSE,7,FALSE,yellow,
9,dataset_1447,2,Road Cracks,0.990121782,1,26.6108121,37.9174277,40,TRUE,FALSE,5,FALSE,yellow,
10,dataset_1447,2,Road Cracks,0.990121782,1,26.61061724,37.9175504,40,TRUE,FALSE,5,FALSE,yellow,
11,dataset_1447,2,Road Cracks,0.990121782,1,26.60790408,37.91779317,40,TRUE,FALSE,5,FALSE,yellow,
12,dataset_1447,2,Road Cracks,0.990121782,1,26.60562498,37.91500136,40,TRUE,FALSE,5,FALSE,yellow,
13,dataset_1447,2,Road Cracks,0.990121782,1,26.60600483,37.91967461,40,TRUE,FALSE,8,FALSE,yellow,
14,dataset_1447,2,Road Cracks,0.990121782,1,26.60844672,37.91979599,40,TRUE,FALSE,5,FALSE,yellow,
15,dataset_1447,2,Road Cracks,0.990121782,1,26.60312877,37.91700418,40,TRUE,FALSE,5,FALSE,yellow,
16,dataset_1447,2,Road Cracks,0.990121782,1,26.60388849,37.91949253,40,TRUE,FALSE,5,FALSE,yellow,
17,dataset_1447,2,Road Cracks,0.990121782,1,26.59715935,37.92046359,40,TRUE,FALSE,7,FALSE,yellow,
18,dataset_1447,2,Road Cracks,0.990121782,1,26.59846179,37.92137397,40,TRUE,FALSE,5,FALSE,yellow,
19,dataset_1447,2,Road Cracks,0.990121782,1,26.60112091,37.92131327,40,TRUE,FALSE,5,FALSE,yellow,
20,dataset_1447,2,Road Cracks,0.990121782,1,26.60144651,37.91852147,40,TRUE,FALSE,5,FALSE,yellow,
21,dataset_1447,2,Road Cracks,0.990121782,1,26.6030745,37.92289125,40,TRUE,FALSE,5,FALSE,yellow,
22,dataset_1447,2,Road Cracks,0.990121782,1,26.60264037,37.92653274,40,TRUE,FALSE,5,FALSE,yellow,
23,dataset_1447,2,Road Cracks,0.990121782,1,26.60285744,37.92659343,40,TRUE,FALSE,5,FALSE,yellow,
24,dataset_1447,2,Road Cracks,0.990121782,1,26.6049738,37.92519753,40,TRUE,FALSE,5,FALSE,yellow,
25,dataset_1447,2,Road Cracks,0.990121782,1,26.60638468,37.92331609,40,TRUE,FALSE,5,FALSE,yellow,
26,dataset_1447,2,Road Cracks,0.990121782,1,26.61115986,37.92865694,40,TRUE,FALSE,5,FALSE,yellow,
27,dataset_1447,2,Road Cracks,0.990121782,1,26.61235362,37.92635067,40,TRUE,FALSE,5,FALSE,yellow,
28,dataset_1447,2,Road Cracks,0.990121782,1,26.61457833,37.9253796,40,TRUE,FALSE,5,FALSE,yellow,
29,dataset_1447,2,Road Cracks,0.990121782,1,26.60822966,37.92853556,40,TRUE,FALSE,5,FALSE,yellow,
30,dataset_1447,2,Road Cracks,0.990121782,1,26.60578777,37.92950662,40,TRUE,FALSE,5,FALSE,yellow,
31,dataset_1447,2,Road Cracks,0.990121782,1,26.6087723,37.93041699,40,TRUE,FALSE,5,FALSE,yellow,
32,dataset_1447,2,Road Cracks,0.990121782,1,26.60855524,37.92222365,40,TRUE,FALSE,6,FALSE,yellow,
33,dataset_1447,2,Road Cracks,0.990121782,1,26.60540792,37.92192019,40,TRUE,FALSE,5,FALSE,yellow,
